"臓器","分類","項目名","UID","H28対応項目","H28表記","修正提案(20220302)","査読コメント(20220302)","削除項目","追加項目","メモ","査読への返答","A","B","C","D","E","F","G","H","I"
"皮膚系","疾患・病態","湿疹・皮膚炎：湿疹反応（湿疹三角）、接触皮膚炎、アトピー性皮膚炎、脂漏性皮膚炎、貨幣状湿疹、皮脂欠乏性湿疹、自家感作性皮膚炎、うっ滞性皮膚炎）","JlAKpbE","D-03-04-01-01, ,D-03-04-01-02","湿疹反応を説明できる。,{not found:  },湿疹・皮膚炎の疾患（接触皮膚炎、アトピー性皮膚炎、脂漏性皮膚炎、貨幣状湿疹、皮脂欠乏性湿疹、自家感作性皮膚炎）を列挙し、概説できる。","","","","D-03-04-01-02にうっ滞性皮膚炎を加える","医師国家試験ガイドラインに沿う","","","","","","","","","",""
"皮膚系","疾患・病態","蕁麻疹、紅斑症、紅皮症と皮膚そう痒症：蕁麻疹、血管性浮腫、多形滲出性紅斑、結節性紅斑、環状紅斑、紅皮症、皮膚そう痒症","JlAKpbI","D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,","蕁麻疹の病態、診断と治療を説明できる。,{not found: },多形滲出性紅斑、環状紅斑と紅皮症の病因と病態を説明できる。,{not found: },{not found: D-03-04-02-03.},{not found: }","","","","D-03-04-02-01に血管性浮腫を加える。,D-03-04-02-02に結節性紅斑を加える。","医師国家試験ガイドラインに沿う","","","","","","紅斑症は割愛（結節性紅斑などの各疾患でカバーできる）","","","",""
"皮膚系","疾患・病態","紫斑・皮膚血流障害：紫斑（単純性・老人性）、皮膚血流障害（血栓性静脈炎・網状皮斑）","JlAKpbM","D-03-04-03-01","皮膚血流障害と血管炎の病因、症候と病態を説明できる。","","","","D-03-04-03-02として皮膚血流障害を分けることを推奨したい。,単純性紫斑・老人性紫斑を加える。,皮膚血流障害（網状皮斑・血栓性静脈炎）と追記。","血管炎はE-4免疫・アレルギーに,D-01-04-02やE-04-03-05も参照と注釈を加えても良い。","","","","","","","","","",""
"皮膚系","疾患・病態","薬疹・薬物障害：固定薬疹、Stevens-Johnson症候群、中毒性表皮壊死症（TEN）、薬剤性過敏症症候群（DIHS）","JlAKpbQ","D-03-04-04-01, D-03-04-04-02","薬疹や薬物障害の発生機序、症候と治療を説明できる。,薬疹を起こしやすい主な薬物を列挙できる。","英語カタカナ語問題","","D-03-04-04-02","D-03-04-04-01に具体的な疾患名を追記しました。","","","","","","中毒性表皮壊死症〈TEN〉、薬剤性過敏症症候群〈DIHS〉","","","","",""
"皮膚系","疾患・病態","水疱症と膿疱：自己免疫性水疱症（天疱瘡・水疱性類天疱瘡）、膿疱症（掌蹠膿疱症・膿疱性乾癬）","JlAKpbU","D-03-04-05-01, D-03-04-05-02, D-03-04-05-03","自己免疫性水疱症の病因、病態と分類を説明できる。,膿疱症の種類と病態を説明できる。,水疱症鑑別のための検査法を説明できる。","","","D-03-04-05-03","","","","","","","","","","","",""
"皮膚系","疾患・病態","乾癬と角化症：尋常性乾癬、扁平苔癬、Gibert 薔薇色粃糠疹、魚鱗癬脂漏性角化症","JlAKpbY","D-03-04-06-01,D-03-04-06-02,","尋常性乾癬、扁平苔癬とGibert薔薇色粃糠疹の病態、症候と治療を説明できる。,魚鱗癬の病態、症候と治療を説明できる。,{not found: }","","","","D-03-04-06-03新設","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症：伝染性膿痂疹、せつ・癰、毛嚢炎、ひょう疽、丹毒、ブドウ球菌性熱傷様皮膚症候群、蜂窩織炎、壊死性筋膜炎、皮膚真菌症（表在性・深在性）、皮膚抗酸菌症、疥癬、皮膚ウィルス感染症（単純ヘルペス・帯状疱疹・尋常性疣贅・伝染性軟属腫・麻疹・風疹・水痘・伝染性紅斑・手足口病）、後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒・難治性ヘルペス・伝染性軟属腫・カポジ肉腫など）","JlAKpbc","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。,皮膚真菌症（表在性、深在性）の症候と病型を説明できる。,皮膚結核病の症候、病型と病因菌を説明できる。,梅毒の症候、病期と合併症を説明できる。,皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。,後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。","","","D-03-04-07-04","D-03-04-07-01にひょう疽、蜂窩織炎、壊死性筋膜炎を加えました。,D-03-04-07-03は皮膚非結核性抗酸菌症も含めました。,D-03-04-07-05のウイルス疾患に3疾患追加しました。,D-03-04-07-06を新たに加えました。","梅毒は感染症E-2に含めることは可能でしょうか。","","","","","","","","","",""
"皮膚系","疾患・病態","母斑性皮膚疾患：母斑、母斑症（神経線維腫症1型・結節性硬化症）","JlAKpbg","D-03-04-08-01","母斑・母斑症の種類を列挙できる。","","","","D-03-04-08-01を2つに分けましたがいかがでしょうか。","","","","","","","","","","",""
"皮膚系","疾患・病態","付属器疾患：毛の疾患（円形脱毛症・男性型脱毛症）、爪の疾患（匙状爪・嵌入爪）、汗腺の疾患（汗疹・多汗症・無汗症）","JlAKpbk","D-03-04-09-01, D-03-04-09-02","毛の疾患の病態、症状と治療を説明できる。,爪の疾患の病態、症状と治療を説明できる。","","","","D-03-04-09-01と-02に、具体的記述を追加しました。,D-03-04-09-03汗腺の疾患を追記しました。","","","","","","","","","","",""
"皮膚系","疾患・病態","その他：尋常性痤瘡、酒皶様皮膚炎、褥瘡、ケロイド、粉瘤、尋常性白斑、壊疽性膿皮症、痒疹、色素性乾皮症","JlAKpbo","","","","","","新設","伴研究を参照し、common disease、内臓疾患との関連、基礎医学との関連を考慮してチョイス","","","","","壊疽性膿皮症は好中球性皮膚症（Sweet病、壊疽性膿皮症）とまとめる","","","","",""
"皮膚系","疾患・病態","腫瘍性疾患：※腫瘍の項目を参照","JlAKpbs","","","","","","","母斑性皮膚疾患と腫瘍性疾患とを分けましたが、いかがでしょうか。","","","","","","","","","",""
"皮膚系","疾患・病態","凍傷・電撃傷を別カテゴリーで設けてください。","JlAKpbw","","","確認要","【宮地】これは？","","","","","","","","","","","","",""
"運動器（筋骨格）系","構造と機能","骨・軟骨・関節・靱帯の構成と機能","JlAKpb0","D-04-01-na-01","骨・軟骨・関節・靱帯の構成と機能を説明できる。","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","構造と機能","頭頸部の構成","JlAKpb4","D-04-01-na-02","頭頸部の構成を説明できる。","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","構造と機能","脊柱の構成と機能","JlAKpb8","D-04-01-na-03","脊柱の構成と機能を説明できる。","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","構造と機能","四肢の骨格、主要筋群の運動と神経支配","JlAKpcA","D-04-01-na-04","四肢の骨格、主要筋群の運動と神経支配を説明できる。","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","構造と機能","骨盤の構成と性差","JlAKpcE","D-04-01-na-05","骨盤の構成と性差を説明できる。","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","構造と機能","骨の成長と骨形成・吸収の機序","JlAKpcI","D-04-01-na-06","骨の成長と骨形成・吸収の機序を説明できる。","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","構造と機能","姿勢と体幹の運動にかかわる筋群","JlAKpcM","D-04-01-na-07","姿勢と体幹の運動にかかわる筋群を概説できる。","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","構造と機能","抗重力筋","JlAKpcQ","D-04-01-na-08","抗重力筋を説明できる。","","","","","","","","","","","8で代替可。∴割愛","","","",""
"運動器（筋骨格）系","症候","運動麻痺・筋力低下","JlAKpcU","D-04-03-na-01, D-04-03-na-02, D-04-03-na-03","運動麻痺・筋力低下,関節痛・関節腫脹,腰背部痛","","","","D-04-03-na-04, D-04-03-na-05","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）","","","","","","","","","",""
"運動器（筋骨格）系","症候","関節痛・関節腫脹","JlAKpcY","D-04-03-na-01, D-04-03-na-02, D-04-03-na-03","運動麻痺・筋力低下,関節痛・関節腫脹,腰背部痛","","","","D-04-03-na-04, D-04-03-na-05","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）","","","","","","","","","",""
"運動器（筋骨格）系","症候","腰背部痛","JlAKpcc","D-04-03-na-01, D-04-03-na-02, D-04-03-na-03","運動麻痺・筋力低下,関節痛・関節腫脹,腰背部痛","","","","D-04-03-na-04, D-04-03-na-05","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）","","","","","","","","","",""
"運動器（筋骨格）系","症候","歩行障害","JlAKpcg","D-04-03-na-01, D-04-03-na-02, D-04-03-na-03","運動麻痺・筋力低下,関節痛・関節腫脹,腰背部痛","","","","D-04-03-na-04, D-04-03-na-05","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）","","","","","","","","","",""
"運動器（筋骨格）系","症候","感覚障害","JlAKpck","D-04-03-na-01, D-04-03-na-02, D-04-03-na-03","運動麻痺・筋力低下,関節痛・関節腫脹,腰背部痛","","","","D-04-03-na-04, D-04-03-na-05","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）","","","","","","","","","",""
"運動器（筋骨格）系","検査方法","筋骨格系の病態に即した徒手検査（四肢と脊柱の可動域検査・神経学的検査等）","JlAKpco","D-04-02-na-01","筋骨格系の病態に即した徒手検査（四肢・脊柱の可動域検査、神経学的検査等）を説明できる。","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","検査方法","筋骨格系画像診断（単純エックス線撮影・CT・MRI・超音波検査・骨塩定量）","JlAKpcs","D-04-02-na-02","筋骨格系画像診断（エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、超音波検査、骨塩定量）の適応を概説できる。","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","検査方法","関節液検査","JlAKpcw","","","","","","新設","","","","","","","","","","",""
"運動器（筋骨格）系","特異的治療法","運動器疾患のリハビリテーション","JlAKpc0","D-04-04-01-15","運動器疾患のリハビリテーションを概説できる。","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","特異的治療法","捻挫・骨折・脱臼の治療・処置","JlAKpc4","","","","","","新設","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","四肢・脊椎外傷","JlAKpc8","D-04-04-01-01","四肢・脊椎外傷の診断と初期治療を説明できる。","","","","","末梢神経損傷や四肢血管損傷が含められるはずです。","以下疾患部分を他の領域に合わせて、まとめた方がよいと思います","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節の脱臼、肘内障、腱・靱帯・半月板損傷","JlAKpdA","D-04-04-01-02","関節の脱臼、靱帯損傷の定義、重症度分類、診断と治療を説明できる。","","","","肘内障、腱・靭帯・半月板損傷、槌指","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節拘縮、Dupuytren拘縮","JlAKpdE","","","英語カタカナ語問題","","","新設","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨折","JlAKpdI","D-04-04-01-03","骨折の分類、症候、診断、治療と合併症を説明できる。","","","","","","","","","","","","","「骨折（大腿骨近位部骨折）」としてはどうでしょうか。","",""
"運動器（筋骨格）系","疾患・病態","筋損傷・挫滅症候群・コンパートメント症候群","JlAKpdM","D-04-04-01-04","コンパートメント症候群の病態、症候、診断と治療を説明できる。","","","","肉離れ・筋損傷・挫滅症候群","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","代謝性骨疾患（骨粗鬆症・くる病・骨軟化症）","JlAKpdQ","D-04-04-01-05","骨粗鬆症の病因と病態を説明し、骨折の好発部位を列挙できる。","","","","代謝性骨疾患（　　　　＋くる病、骨軟化症）","","","","","","","","","","",""
